gcc -O3  -o exec.x dem_serial.c -lm -lpng -I/usr/local/include -L/usr/local/lib
mpicc -O3 -fopenmp  -o exec.openmp dem_openmp.c -lm -lpng -I/usr/local/include -L/usr/local/lib
mpicc -O3  -o exec.mpi dem_mpi.c -lm -lpng -I/usr/local/include -L/usr/local/lib
Number of MPI processes: 1
Setup: 1 processors, order: 1x1
Number of idle processors: 0
pixel load: max 168300, min 168300, 0.00 percent
Image size is (330,510)
MPI rank 0 has 1 omp processes

Avg. rho: 105.322877
Solving to T= 30750.000000 using 128125 timesteps.
0.010000, 0.001000, 67982.421000 
0.020000, 0.001000, 66550.707432 
0.030000, 0.001000, 65170.861487 
0.040000, 0.001000, 63840.601171 
0.050000, 0.001000, 62557.754455 
0.060000, 0.001000, 61320.253733 
0.070000, 0.001000, 60126.130551 
0.080000, 0.001000, 58973.510619 
0.090000, 0.001000, 57860.609076 
0.100000, 0.001000, 56785.725995 
0.110000, 0.001000, 55747.242127 
0.120000, 0.001000, 54743.614854 
0.130000, 0.001000, 53773.374358 
0.140000, 0.001000, 52835.119983 
0.150000, 0.001000, 51927.516788 
0.160000, 0.001000, 51049.292270 
0.170000, 0.001000, 50199.233263 
0.180000, 0.001000, 49376.182989 
0.190000, 0.001000, 48579.038270 
0.200000, 0.001000, 47806.746869 
0.210000, 0.001000, 47058.304983 
0.220000, 0.001000, 46332.754849 
0.230000, 0.001000, 45629.182487 
0.240000, 0.001000, 44946.715544 
240.240000, 8.435347, 465.001350 
480.240000, 16.565135, 320.526767 
720.240000, 22.087138, 266.112112 
960.240000, 25.846042, 237.287596 
1200.240000, 29.502076, 219.115799 
1440.240000, 33.281222, 206.440454 
1680.240000, 37.004176, 197.071326 
1920.240000, 40.523195, 189.921031 
2160.240000, 43.763156, 184.378905 
2400.240000, 46.697449, 180.056256 
2640.240000, 49.324857, 176.698475 
2880.240000, 51.656244, 174.121145 
3120.240000, 53.707942, 171.949550 
3360.240000, 55.497126, 169.945095 
3600.240000, 57.041357, 168.088097 
3840.240000, 58.355212, 166.364217 
4080.240000, 59.475610, 164.757972 
4320.240000, 60.566359, 163.258545 
4560.240000, 61.647202, 161.854493 
4800.240000, 62.710250, 160.536718 
5040.240000, 63.748341, 159.297538 
5280.240000, 64.758294, 158.129124 
5520.240000, 65.735306, 157.025299 
5760.240000, 66.677782, 155.980276 
